"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Albert Toeaina","City College of San Francisco (San Francisco, CA)","OT","6-5","345",4,"0.9667","Tennessee"
2,"Ryan Powdrell","Saddleback College (Mission Viejo, CA)","ILB","6-1","250",4,"0.9667","USC"
3,"Taitusi Lutui","Snow College (Ephraim, UT)","OT","6-5","370",4,"0.9667","USC"
4,"Jesse Mahelona","Orange Coast College (Costa Mesa, CA)","DT","6-2","290",4,"0.9667","Tennessee"
5,"Claude Wroten","Mississippi Delta C.C. (Moorhead, MS)","DT","6-3","315",4,"0.9667","LSU"
6,"Tyler McMeans","Lackawanna C.C. (Scranton, PA)","OG","6-5","350",4,"0.9667","Miami"
7,"Paul Soliai","Coffeyville C.C. (Coffeyville, KS)","OG","6-4","335",4,"0.9333","Utah"
8,"E.J. Kuale","Dodge City C.C. (Dodge City, KS)","ILB","6-3","235",4,"0.9000","LSU"
9,"Dashon Goldson","Coffeyville C.C. (Coffeyville, KS)","S","6-1","205",4,"0.9000","Washington"
10,"Chris Herring","Northwest Mississippi C.C. (Senatobia, MS)","DT","6-2","311",4,"0.9000","Ole Miss"
11,"Keith Ellison","El Camino College (Torrance, CA)","OLB","6-2","220",4,"0.9000","Oregon State"
12,"Jerome Harrison","Pasadena City College (Pasadena, CA)","RB","5-11","188",4,"0.9000","Washington State"
13,"Sylvester Brinkley","Reedley College (Reedley, CA)","ILB","6-4","235",4,"0.9000","Texas Tech"
14,"Remi Ayodele","Northeastern Oklahoma A&M (Miami, OK)","DT","6-3","301",4,"0.9000","Oklahoma"
